beta_m_per_s,s_10_um,s_20_um,s_30_um,s_40_um,s_50_um,s_75_um,s_100_um,s_150_um
1e-05,0.5114748295800714,0.7451160459187041,0.8813488698745011,0.9707112788594585,1.0337243873404949,1.1298893817965097,1.1883965292490817,1.2530760387506874
2.848035868435799e-05,0.24756708435925873,0.4222148985170807,0.5580820719009101,0.6677468553375362,0.7577786186894105,0.9210608468316472,1.0403296263575363,1.1913558267620965
8.111308307896872e-05,0.10365403544048103,0.1945557328849027,0.2792012027653327,0.3602996180163637,0.43787729692061217,0.6131571841097403,0.7828383051508667,1.059107034609575
0.0002310129700083158,0.04049226104162247,0.08071553485595495,0.12199648754050246,0.1659551017485559,0.21222437578622358,0.33496232868927733,0.49644299777568635,0.8566783724863679
0.0006579332246575682,0.015532150542252926,0.032865846588744585,0.05218181467252533,0.07506320933627625,0.10084142487023297,0.17394371425035599,0.3023242747233098,0.6634588162071187
0.001873817422860383,0.006176212597111671,0.014361979255059668,0.024368331443192847,0.0382100560125528,0.0547389326825018,0.10239753046892075,0.21105784980072184,0.546676550941426
0.005336699231206307,0.0027642029883024576,0.0074986944619391165,0.013874246460604407,0.02422933622737331,0.03711858641676579,0.07460083229413692,0.1753342053623052,0.49461384707572137
0.01519911082952933,0.0015341860814515986,0.004996993145082437,0.010049501891662569,0.019109346547563404,0.03067463222533079,0.06451543491902936,0.1623302502219804,0.4745255988354905
0.04328761281083057,0.0010917965485729754,0.004097867053316448,0.008685249022641813,0.01728186952101837,0.028375645482565902,0.060944540751566405,0.1577132048372718,0.46726026247268776
0.12328467394420659,0.0009340480186117744,0.0037790343353822134,0.00820383575149327,0.0166356927777973,0.027565120917898464,0.059685742537888935,0.15608531677889068,0.46466793766346165
0.3511191734215127,0.0008783705255069257,0.0036667197076866893,0.008034143811095958,0.01640838232930943,0.027281469414763934,0.0592466396575625,0.155508689473745,0.46375186420634784
1.0,0.000858731141752827,0.00362708746201292,0.007975085464161789,0.016328971077622906,0.027181134037231037,0.0590915583507651,0.15530559521990048,0.4634294858756278
